ID,Title,Tier 1 Markers,Tier 2 Markers,Tier 3 Markers,Tier 1 Metrics,Tier 2 Metrics,Tier 3 Metrics
REC0001.1,Increase Fiber Intake,"ApoB, HbA1c, LDL, Fasting Glucose","Fasting Insulin, HOMA-IR",,,,
REC0001.2,Increase Fiber Intake,"ApoB, HbA1c, LDL, Fasting Glucose","Fasting Glucose, HOMA-IR, hsCRP",,,"BMI, % Bodyfat",
REC0001.3 (i),Increase Fiber Intake: Women <50,"ApoB, HbA1c, LDL, Fasting Glucose, HOMA-IR",hsCRP,,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0001.3 (ii),Increase Fiber Intake: Men <50,"ApoB, HbA1c, LDL, Fasting Glucose, HOMA-IR",hsCRP,,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0001.3 (iii),Increase Fiber Intake: Women ≥50,"ApoB, HbA1c, LDL","Fasting Glucose, HOMA-IR, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0001.3 (iv),Increase Fiber Intake: Men ≥50,"ApoB, HbA1c, LDL","Fasting Glucose, HOMA-IR, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0002.1,Prioritize Healthy Fats Over Saturated Fats,"HbA1c, LDL, Omega-3 Index, Total Cholesterol, Triglycerides, HSCRP","Fasting Glucose, Fasting Insulin, HOMA-IR, HDL, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass",
REC0002.2,Prioritize Healthy Fats Over Saturated Fats,"HbA1c, LDL, Omega-3 Index, Total Cholesterol, Triglycerides, HS-CRP","Fasting Glucose, Fasting Insulin, HOMA-IR, HDL, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass",
REC0002.3,Prioritize Healthy Fats Over Saturated Fats,"HbA1c, LDL, Omega-3 Index, Total Cholesterol, Triglycerides, HS-CRP","Fasting Glucose, Fasting Insulin, HOMA-IR, HDL, hsCRP",,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass",
REC0003.1,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Fasting Insuling, HOMA-IR, HS-CRP","ApoB, Fasting Glucose, HbA1c, HDL, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, HRV","% Bodyfat, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0003.2,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Fasting Insuling, HOMA-IR, HS-CRP","ApoB, Fasting Glucose, HbA1c, HDL, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, HRV","% Bodyfat, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0003.3,Incorporate Zone 2 Cardio for Mitochondrial and Cardiovascular Health,"Fasting Insuling, HOMA-IR, HS-CRP","ApoB, Fasting Glucose, HbA1c, HDL, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, HRV","% Bodyfat, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0004.1,Prioritize 7–9 Hours of Consistent Sleep for Recovery and Longevity,"Cortisol, Fasting Insulin, HOMA-IR, Fasting Glucose, NLR","ApoB, Free Testosterone, HDL, hsCRP, Testosterone, Triglycerides, Vitamin D",,"Total Sleep, Deep Sleep, REM Sleep, Resting Heart Rate, HRV","% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0004.2,Prioritize 7–9 Hours of Consistent Sleep for Recovery and Longevity,"Cortisol, Fasting Insulin, HOMA-IR, Fasting Glucose, HGBA1C, NLR ratio","ApoB, Free Testosterone, HDL, hsCRP, Testosterone, Triglycerides, Vitamin D",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Resting Heart Rate","% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0004.3,Prioritize 7–9 Hours of Consistent Sleep for Recovery and Longevity,"Cortisol, Fasting Insulin, HOMA-IR, Fasting Glucose, HGBA1c, NLR ratio","ApoB, Free Testosterone, HDL, hsCRP, Testosterone, Triglycerides, Vitamin D",,"Total Sleep, Deep Sleep, REM Sleep","% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0005.1 (i),Reduce or Eliminate Alcohol Consumption: Women,"ALT, AST, Fasting Glucose, Fasting Insulin, HOMA-IR, GGT, HSCRP","Cortisol, HDL, hsCRP, Testosterone, Triglycerides",,"Resting Heart Rate, Total Sleep, REM Sleep, Blood Pressure - Systolic, Blood Pressure - Diastolic","Deep Sleep, HRV, % Bodyfat, Weight, BMI",
REC0005.1 (ii),Reduce or Eliminate Alcohol Consumption: Men,"ALT, AST, Fasting Glucose, Fasting Insulin, HOMA-IR, GGT, HSCRP","Cortisol, HDL, hsCRP, Testosterone, Triglycerides",,"Resting Heart Rate, Total Sleep, REM Sleep, Blood Pressure - Systolic, Blood Pressure - Diastolic","Deep Sleep, HRV, % Bodyfat, Weight, BMI",
REC0005.2,Reduce or Eliminate Alcohol Consumption: Women and Men,"ALT, AST, Fasting Glucose, Fasting Insulin, HOMA-IR, GGT, HSCRP","Cortisol, HDL, hsCRP, Testosterone, Triglycerides",,"Resting Heart Rate, Total Sleep, REM Sleep, Blood Pressure - Systolic, Blood Pressure - Diastolic","Deep Sleep, HRV, % Bodyfat, Weight, BMI",
REC0005.3,Reduce or Eliminate Alcohol Consumption: Women + Men,"ALT, AST, Fasting Glucose, Fasting Insulin, HOMA-IR, GGT, HSCRP","Cortisol, HDL, hsCRP, Testosterone, Triglycerides",,"Resting Heart Rate, Total Sleep, REM Sleep, Blood Pressure - Systolic, Blood Pressure - Diastolic","Deep Sleep, HRV, % Bodyfat, Weight, BMI",
REC0006.1,Increase Protein Intake,"ApoB, HbA1c, Albumin, muscle mass to FF Mass, Fasting Insulin, HOMA-IR, HGBA1c, Fasting Glucose","HDL, hsCRP, SHBG, Triglycerides, Vitamin B12",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Grip Strength","% Bodyfat, BMI, Grip Strength, Hip-to-Waist Ratio",
REC0006.2,Increase Protein Intake,"ApoB, HbA1c, Albumin, muscle mass to FF Mass, Fasting Insulin, HOMA-IR, HGBA1c, Fasting Glucose","HDL, hsCRP, SHBG, Triglycerides, Vitamin B12",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Grip Strength","% Bodyfat, BMI, Grip Strength, Hip-to-Waist Ratio",
REC0006.3,Increase Protein Intake,"ApoB, HbA1c, Albumin, muscle mass to FF Mass, Fasting Insulin, HOMA-IR, HGBA1c, Fasting Glucose","HDL, hsCRP, SHBG, Triglycerides, Vitamin B12",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Grip Strength","% Bodyfat, BMI, Grip Strength, Hip-to-Waist Ratio",
REC0007.1,Increase Vegetable Intake,"ApoB, LDL, Triglycerindes, HbA1c, Fasting Glucose, Fasting Insulin, HOMA-IR, Total Cholesterol, hsCRP","eGFR, Estradiol, Fasting Glucose, Homocysteine, Magnesium (RBC), Potassium, Vitamin B12","Omega 3 index, demntia risk marker???, reduced colon CA risk","Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0007.2,Increase Vegetable Intake,"ApoB, LDL, Triglycerindes, HbA1c, Fasting Glucose, Fasting Insulin, HOMA-IR, Total Cholesterol, hsCRP","eGFR, Estradiol, Fasting Glucose, Homocysteine, Magnesium (RBC), Potassium, Vitamin B12",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0007.3,Increase Vegetable Intake,"ApoB, LDL, Triglycerindes, HbA1c, Fasting Glucose, Fasting Insulin, HOMA-IR, Total Cholesterol, hsCRP","eGFR, Estradiol, Fasting Glucose, Homocysteine, hsCRP, Magnesium (RBC), Potassium, Vitamin B12",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0008.1,Increase Fruit Intake,"ApoB, LDL, hsCRP, NLR ratio","eGFR, Estradiol, Fasting Glucose, Homocysteine, Magnesium (RBC), Potassium, Vitamin B12, Tiglycerides","NLR, improved cogntiive markers? Reduced oral/esophageal cancer","Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio",
REC0008.2,Increase Fruit Intake,"ApoB, LDL, hsCRP, NLR ratio","eGFR, Estradiol, Fasting Glucose, Homocysteine, Magnesium (RBC), Potassium, Vitamin B12, Tiglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio",
REC0008.3,Increase Fruit Intake,"ApoB, LDL, hsCRPNLR ratio","eGFR, Estradiol, Fasting Glucose, Homocysteine, Magnesium (RBC), Potassium, Vitamin B12, Tiglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio",
REC0009.1,Reduce Added Sugar Intake,"ApoB, HbA1c, Fasting Glucose, HOMA-IR, Hip-to-Waist, Fasting Insulin, Triglycerides, hsCRP, AST, ALT, GGT","HDL, Lympocytes, Neutrocyte/Lymphocyte Ratio, Neutrophils, White Blood Cell Count",fatty liver marker?,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI",,
REC0009.2,Reduce Added Sugar Intake,"ApoB, HbA1c, Fasting Glucose, HOMA-IR, Hip-to-Waist, Fasting Insulin, Triglycerides, hsCRP, AST, ALT, GGT","HDL, Lympocytes, Neutrocyte/Lymphocyte Ratio, Neutrophils, White Blood Cell Count",fatty liver marker,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI",,
REC0009.3,Reduce Added Sugar Intake,"ApoB, HbA1c, Fasting Glucose, HOMA-IR, Hip-to-Waist, Fasting Insulin, Triglycerides, hsCRP, AST, ALT, GGT","HDL, Lympocytes, Neutrocyte/Lymphocyte Ratio, Neutrophils, White Blood Cell Count",fatty liver marker,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI",,
REC0010.1,Reduce Processed Meat Intake,"ApoB, LDL, hsCRP, HgbA1c, Fasting Insulin, HOMA-IR","Ferritin, HDL, HOMA-IR, hsCRP, Lympocytes, Neutrocyte/Lymphocyte Ratio, Neutrophils, Triglycerides, White Blood Cell Count","colorectal cancer, all cause mortalitry down","Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio",
REC0010.2,Reduce Processed Meat Intake,"ApoB, LDL, hsCRP, HgbA1c, Fasting Insulin, HOMA-IR","Ferritin, HDL, HOMA-IR, hsCRP, Lympocytes, Neutrocyte/Lymphocyte Ratio, Neutrophils, Triglycerides, White Blood Cell Count",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio",
REC0010.3,Reduce Processed Meat Intake,"ApoB, LDL, hsCRP, HgbA1c, Fasting Insulin, HOMA-IR","Ferritin, HDL, HOMA-IR, hsCRP, Lympocytes, Neutrocyte/Lymphocyte Ratio, Neutrophils, Triglycerides, White Blood Cell Count",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio",
REC0011.1,Increase Whole Grain Intake,"ApoB, HbA1c, Total Cholesterol, LDL, Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP","HDL, Triglycerides, Vitamin B12, magesium, NLR",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI",
REC0011.2,Increase Whole Grain Intake,"ApoB, HbA1c, Total Cholesterol, LDL, Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP","HDL, Triglycerides, Vitamin B12, magesium, NLR",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI",
REC0011.3,Increase Whole Grain Intake,"ApoB, HbA1c, Total Cholesterol, LDL, Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP","HDL, Triglycerides, Vitamin B12, magesium, NLR",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI",
REC0012.1,Increase Legume Intake,"LDL, Total Cholesterol, ApoB, HbA1c, Fasting Insulin, HOMA-IR, Fasting Glucose, hsCRP, neutrophil-to-lymphocyte ratio","Folate (RBC), Folate Serum, HDL, Homocysteine, Triglycerides, Vitamin B12",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass",
REC0012.2,Increase Legume Intake,"LDL, Total Cholesterol, ApoB, HbA1c, Fasting Insulin, HOMA-IR, Fasting Glucose, hsCRP, neutrophil-to-lymphocyte ratio","Fasting Glucose, Fasting Insulin, Folate (RBC), Folate Serum, HDL, HOMA-IR, Homocysteine, hsCRP, Triglycerides, Vitamin B12",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass",
REC0012.3,Increase Legume Intake,"LDL, Total Cholesterol, ApoB, HbA1c, Fasting Insulin, HOMA-IR, Fasting Glucose, hsCRP, neutrophil-to-lymphocyte ratio","Fasting Glucose, Fasting Insulin, Folate (RBC), Folate Serum, HDL, HOMA-IR, Homocysteine, hsCRP, Triglycerides, Vitamin B12",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass",
REC0013.1,Reduce Caffeine Intake,"AST, ALT, GGT, HgbA1c, HOMA-IR, Fasting Glucose, Fasting Insulin, folate(RBC), Homocysteine",Cortisol,,,"Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep, Blood Pressure - Diastolic, Blood Pressure - Systolic, Grip Strength, VO2 Max",
REC0013.2,Reduce Caffeine Intake,"AST, ALT, GGT, HgbA1c, HOMA-IR, Fasting Glucose, Fasting Insulin, folate (RBC). Homocysteine",Cortisol,,,"Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep, Blood Pressure - Diastolic, Blood Pressure - Systolic, Grip Strength, VO2 Max",
REC0013.3,Reduce Caffeine Intake,"AST, ALT, GGT, HgbA1c, HOMA-IR, Fasting Glucose, Fasting Insulin, Folate (RBC), Homocysteine",Cortisol,,,"Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep, Blood Pressure - Diastolic, Blood Pressure - Systolic, Grip Strength, VO2 Max",
REC0014.1,Optimize Caffeine Source,"AST, ALT, GGT, HgbA1c, HOMA-IR, Fasting Glucose, Fasting Insulin, magnesium",,,,"Total Sleep, Deep Sleep, REM Sleep",
REC0014.2,Optimize Caffeine Source,"AST, ALT, GGT, HgbA1c, HOMA-IR, Fasting Glucose, Fasting Insulin, magnesium",,,,"Total Sleep, Deep Sleep, REM Sleep",
REC0014.3,Optimize Caffeine Source,"AST, ALT, GGT, HgbA1c, HOMA-IR, Fasting Glucose, Fasting Insulin, magnesium",,,,"Total Sleep, Deep Sleep, REM Sleep",
REC0015.1,Optimize Caffeine Timing,"Homocysteine, Cortisol","AST, ALT, GGT, HgbA1c, HOMA-IR, Fasting Glucose, Fasting Insulin, blood pressure-diastolic",,"Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep",Blood Pressure - Systolic,
REC0015.2,Optimize Caffeine Timing,"Homocysteine, Cortisol","AST, ALT, GGT, HgbA1c, HOMA-IR, Fasting Glucose, Fasting Insulin, blood pressure-diastolic",,"Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep",Blood Pressure - Systolic,
REC0015.3,Optimize Caffeine Timing,"Homocysteine, Cortisol","AST, ALT, GGT, HgbA1c, HOMA-IR, Fasting Glucose, Fasting Insulin, blood pressure-diastolic",,"Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep",Blood Pressure - Systolic,
REC0016.1,Daily Meal Frequency,"Fasting Glucose, Fasting Insulin, HDL, HOMA-IR, Triglycerides, hsCRP",Homocysteine,,,"Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep, Blood Pressure - Diastolic, Blood Pressure - Systolic, Weight, BMI",
REC0016.2,Daily Meal Frequency,"Fasting Glucose, Fasting Insulin, HDL, HOMA-IR, Triglycerides, hsCRP",Homocysteine,,,"Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep, Blood Pressure - Diastolic, Blood Pressure - Systolic, Weight, BMI",
REC0016.3,Daily Meal Frequency,"Fasting Glucose, Fasting Insulin, HDL, HOMA-IR, Triglycerides, hsCRP",Homocysteine,,,"Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep, Blood Pressure - Diastolic, Blood Pressure - Systolic, Weight, BMI",
REC0017.1,Time Restricted Eating,"Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, HbA1c","LDL, Triglycerides",,"% Bodyfat, BMI","Blood Pressure - Diastolic, Blood Pressure - Systolic, REM Sleep, Deep Sleep",
REC0017.2,Time Restricted Eating,"Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, HbA1c","LDL, Triglycerides",,"% Bodyfat, BMI","Blood Pressure - Diastolic, Blood Pressure - Systolic, REM Sleep, Deep Sleep",
REC0017.3,Time Restricted Eating,"Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, HbA1c","LDL, Triglycerides",,"% Bodyfat, BMI","Blood Pressure - Diastolic, Blood Pressure - Systolic, REM Sleep, Deep Sleep",
REC0018.1,First Meal Timing,"Fasting Glucose, Fasting Insulin, HOMA-IR, ApoB","Cortisol, hsCRP",,,"Deep Sleep, REM Sleep, Total Sleep, Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat",
REC0018.2,First Meal Timing,"Fasting Glucose, Fasting Insulin, HOMA-IR, ApoB","Cortisol, hsCRP",,,"Deep Sleep, REM Sleep, Total Sleep, Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat",
REC0018.3,First Meal Timing,"Fasting Glucose, Fasting Insulin, HOMA-IR, ApoB","Cortisol, hsCRP",,,"Deep Sleep, REM Sleep, Total Sleep, Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat",
REC0019.1,Final Meal Timing,"Fasting Glucose, Fasting Insulin, HOMA-IR, ApoB, Cortisol, hsCRP","Triglycerides, LDL",,"Total Sleep, HRV, Resting Heart Rate","% Bodyfat, BMI, REM Sleep",
REC0019.2,Final Meal Timing,"Fasting Glucose, Fasting Insulin, HOMA-IR, ApoB, Cortisol, hsCRP","Triglycerides, LDL",,"Total Sleep, HRV, Resting Heart Rate","% Bodyfat, BMI, REM Sleep",
REC0019.3,Final Meal Timing,"Fasting Glucose, Fasting Insulin, HOMA-IR, ApoB, Cortisol, hsCRP","Triglycerides, LDL",,"Total Sleep, HRV, Resting Heart Rate","% Bodyfat, BMI, REM Sleep",
REC0020.1,Daily Water Intake,"sodium, BUN, Calcium (Ionized), Calcium (Serum), Cortisol, Creatinine, eGFR, Fasting Glucose","HDL, Hematocrit, Hemoglobin, hsCRP",,Resting Heart Rate,"% Bodyfat, BMI, Blood Pressure - Diastolic, Blood Pressure - Systolic",
REC0020.2,Daily Water Intake,"sodium, BUN, Calcium (Ionized), Calcium (Serum), Cortisol, Creatinine, eGFR, Fasting Glucose","HDL, Hematocrit, Hemoglobin, hsCRP",,Resting Heart Rate,"% Bodyfat, BMI, Blood Pressure - Diastolic, Blood Pressure - Systolic",
REC0020.3,Daily Water Intake,"sodium, BUN, Calcium (Ionized), Calcium (Serum), Cortisol, Creatinine, eGFR, Fasting Glucose","HDL, Hematocrit, Hemoglobin, hsCRP",,Resting Heart Rate,"% Bodyfat, BMI, Blood Pressure - Diastolic, Blood Pressure - Systolic",
REC0021.1,Daily Whole Food Meals,"LDL, ApoB, Fasting Glucose, Fasting Insulin, HOMA-IR, Homocysteine, hsCRP, Triglycerides",Cortisol,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI","Deep Sleep, REM Sleep, Total Sleep",
REC0021.2,Daily Whole Food Meals,"LDL, ApoB, Fasting Glucose, Fasting Insulin, HOMA-IR, Homocysteine, hsCRP, Triglycerides",Cortisol,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI","Deep Sleep, REM Sleep, Total Sleep",
REC0021.3,Daily Whole Food Meals,"LDL, ApoB, Fasting Glucose, Fasting Insulin, HOMA-IR, Homocysteine, hsCRP, Triglycerides",Cortisol,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI","Deep Sleep, REM Sleep, Total Sleep",
REC0022.1,Daily Ultra-Processed Foods,"Fasting Glucose, ApoB, HbA1c, HOMA-IR, Hipt-to-Waist ratio, Fasting Insulin, LDL Triglycerides, hsCRP",HDL,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI","Deep Sleep, REM Sleep, Total Sleep, HRV",
REC0022.2,Daily Ultra-Processed Foods,"Fasting Glucose, ApoB, HbA1c, HOMA-IR, Hipt-to-Waist ratio, Fasting Insulin, LDL Triglycerides, hsCRP",HDL,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI","Deep Sleep, REM Sleep, Total Sleep, HRV",
REC0022.3,Daily Ultra-Processed Foods,"Fasting Glucose, ApoB, HbA1c, HOMA-IR, Hipt-to-Waist ratio, Fasting Insulin, LDL Triglycerides, hsCRP",HDL,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI","Deep Sleep, REM Sleep, Total Sleep, HRV",
REC0023.1,Daily Takeout/Delivery Meals,"Fasting Glucose, ApoB, HbA1c, HOMA-IR, Hipt-to-Waist ratio, Fasting Insulin, LDL Triglycerides, hsCRP",HDL,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI","Deep Sleep, REM Sleep, Total Sleep, HRV",
REC0023.2,Daily Takeout/Delivery Meals,"Fasting Glucose, ApoB, HbA1c, HOMA-IR, Hipt-to-Waist ratio, Fasting Insulin, LDL Triglycerides, hsCRP",HDL,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI","Deep Sleep, REM Sleep, Total Sleep, HRV",
REC0023.3,Daily Takeout/Delivery Meals,"Fasting Glucose, ApoB, HbA1c, HOMA-IR, Hipt-to-Waist ratio, Fasting Insulin, LDL Triglycerides, hsCRP",HDL,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, % Bodyfat, BMI","Deep Sleep, REM Sleep, Total Sleep, HRV",
REC0024.1,Daily Plant-Based Meals,"Fasting Glucose, Fasting Insulin, Folate (RBC), Folate Serum, HDL, HOMA-IR, Homocysteine, hsCRP, Magnesium (RBC), Vitamin B12, Vitamin D, LDL, Total Cholesterol, ApoB",Cortisol,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI, Hip-to-Waist Ratio, Resting Heart Rate","Deep Sleep, REM Sleep, Total Sleep",
REC0024.2,Daily Plant-Based Meals,"Fasting Glucose, Fasting Insulin, Folate (RBC), Folate Serum, HDL, HOMA-IR, Homocysteine, hsCRP, Magnesium (RBC), Vitamin B12, Vitamin D, :D:, Total Cholesterol, ApoB",Cortisol,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI, Hip-to-Waist Ratio, Resting Heart Rate","Deep Sleep, REM Sleep, Total Sleep",
REC0024.3,Daily Plant-Based Meals,"Fasting Glucose, Fasting Insulin, Folate (RBC), Folate Serum, HDL, HOMA-IR, Homocysteine, hsCRP, Magnesium (RBC), Vitamin B12, Vitamin D, LDL, TOtal Chol' ApoB",Cortisol,,"% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI, Hip-to-Waist Ratio, Resting Heart Rate","Deep Sleep, REM Sleep, Total Sleep",
REC0025.1,Zone 2 Cardio Sessions,"HOMA-IR, Fasting Insulin, hsCRP","ApoB, LDL, HbA1c, HDL, Triglycerides",,"VO2 Max, Blood Pressure - Systolic, Blood Pressure - Diastolic, Resting Heart Rate, HRV, % Bodyfat, Hip-to-Waist Ratio, Total Sleep, Deep Sleep, REM Sleep","Deep Sleep, REM Sleep, Total Sleep",
REC0025.2,Zone 2 Cardio Sessions,"HOMA-IR, Fasting Insulin, hsCRP","ApoB, LDL, HbA1c, HDL, Triglycerides",,"VO2 Max, Blood Pressure - Systolic, Blood Pressure - Diastolic, Resting Heart Rate, HRV, % Bodyfat, Hip-to-Waist Ratio, Total Sleep, Deep Sleep, REM Sleep","Deep Sleep, REM Sleep, Total Sleep",
REC0025.3,Zone 2 Cardio Sessions,"HOMA-IR, Fasting Insulin, hsCRP","ApoB, LDL, HbA1c, HDL, Triglycerides",,"VO2 Max, Blood Pressure - Systolic, Blood Pressure - Diastolic, Resting Heart Rate, HRV, % Bodyfat, Hip-to-Waist Ratio, Total Sleep, Deep Sleep, REM Sleep","Deep Sleep, REM Sleep, Total Sleep",
